Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,269,Human Resources,24,2,Other,1,306,4,Male,93,1,3,Human Resources,4,Divorced,13735,4084,1,Y,Yes,22,3,2,80,0,13,0,2,35,8,7,13
41,No,Travel_Rarely,658,Research & Development,26,1,Medical,1,307,4,Female,54,2,4,Manufacturing Director,3,Divorced,5087,22134,8,Y,No,17,3,2,80,1,7,2,1,25,7,0,9
31,No,Non-Travel,1006,Research & Development,24,2,Medical,1,308,2,Female,84,2,3,Healthcare Representative,2,Single,11867,11701,4,Y,No,15,3,2,80,1,0,5,1,13,7,14,2
51,Yes,Travel_Rarely,206,Research & Development,19,3,Life Sciences,1,309,2,Female,38,3,4,Manufacturing Director,3,Single,2011,8884,4,Y,No,14,4,3,80,0,15,4,1,16,15,8,5
29,No,Travel_Rarely,251,Sales,18,1,Human Resources,1,310,3,Female,46,1,1,Sales Executive,3,Divorced,7778,10647,7,Y,No,17,3,1,80,2,25,0,1,8,17,13,8
39,No,Travel_Rarely,247,Research & Development,9,2,Technical Degree,1,311,3,Male,50,3,3,Research Director,1,Single,18029,7477,5,Y,No,22,3,1,80,2,5,1,3,6,7,13,13
23,No,Travel_Rarely,817,Sales,2,4,Marketing,1,312,4,Female,89,3,2,Sales Representative,1,Married,10079,17669,2,Y,Yes,13,3,3,80,0,38,4,2,26,8,14,7
53,No,Travel_Rarely,975,Sales,25,1,Marketing,1,313,3,Female,42,1,4,Manager,2,Married,5094,2809,8,Y,No,19,3,1,80,2,1,5,1,27,4,3,0
53,No,Travel_Rarely,400,Human Resources,20,1,Medical,1,314,4,Female,32,3,3,Human Resources,3,Single,16821,11931,3,Y,No,24,4,1,80,2,8,3,2,11,1,8,2
39,Yes,Travel_Rarely,1292,Research & Development,12,4,Other,1,315,3,Female,97,1,1,Laboratory Technician,1,Single,1824,20025,3,Y,No,23,3,3,80,0,4,4,3,16,13,7,5
31,No,Travel_Rarely,747,Research & Development,2,4,Other,1,316,3,Female,33,1,3,Manufacturing Director,3,Married,11012,16044,1,Y,Yes,15,3,1,80,2,39,2,3,8,17,8,0
33,No,Travel_Rarely,824,Research & Development,10,2,Human Resources,1,317,2,Female,36,2,4,Laboratory Technician,4,Divorced,2887,10086,2,Y,Yes,22,4,2,80,0,4,2,2,7,12,14,9
53,No,Travel_Rarely,1173,Sales,1,2,Technical Degree,1,318,2,Female,55,3,1,Sales Executive,4,Married,13920,19129,3,Y,No,13,3,3,80,0,7,3,3,26,11,13,16
42,No,Non-Travel,739,Sales,4,3,Other,1,319,2,Female,53,2,2,Manager,2,Married,8015,3144,6,Y,No,12,3,1,80,0,4,3,2,11,14,5,0
49,No,Non-Travel,340,Sales,25,3,Marketing,1,320,2,Male,39,3,4,Sales Representative,4,Married,16530,15451,2,Y,No,17,3,2,80,2,4,3,1,36,14,8,7
50,No,Travel_Rarely,1132,Research & Development,12,1,Other,1,321,1,Female,42,3,4,Laboratory Technician,1,Single,19259,6836,7,Y,Yes,22,3,1,80,0,16,2,3,19,0,3,11
53,Yes,Travel_Rarely,565,Research & Development,9,4,Technical Degree,1,322,2,Male,73,2,1,Manufacturing Director,1,Single,3466,15463,7,Y,Yes,17,3,3,80,2,8,5,3,0,6,2,13
37,No,Non-Travel,554,Research & Development,4,4,Marketing,1,323,1,Female,68,2,4,Manufacturing Director,2,Married,9508,7138,1,Y,No,22,3,2,80,0,33,5,2,8,12,2,16
35,No,Travel_Rarely,885,Sales,9,3,Other,1,324,2,Female,48,2,3,Sales Representative,3,Single,2556,23534,3,Y,No,23,3,1,80,1,32,4,3,23,17,7,15
55,No,Travel_Frequently,998,Human Resources,28,1,Marketing,1,325,3,Female,80,1,2,Human Resources,1,Single,10900,12382,7,Y,No,15,3,3,80,2,21,0,1,33,0,1,4
20,No,Non-Travel,472,Research & Development,6,1,Medical,1,326,4,Male,48,3,3,Research Director,4,Married,2717,9355,0,Y,No,14,3,1,80,2,20,0,3,35,10,11,3
40,No,Travel_Rarely,588,Research & Development,1,3,Medical,1,327,3,Male,81,1,1,Manufacturing Director,1,Married,5665,12940,0,Y,No,23,3,1,80,2,14,1,3,3,12,5,4
49,No,Travel_Rarely,1336,Research & Development,10,3,Human Resources,1,328,3,Female,76,3,4,Research Scientist,2,Single,15891,20158,3,Y,No,21,3,2,80,1,0,2,3,28,8,8,4
33,No,Non-Travel,266,Research & Development,14,3,Medical,1,329,1,Male,59,3,2,Manager,4,Married,12336,11893,1,Y,Yes,12,4,1,80,0,6,3,2,22,15,14,0
22,Yes,Travel_Rarely,1250,Sales,22,2,Other,1,330,2,Female,75,1,1,Manager,4,Married,3351,5616,0,Y,No,12,3,3,80,1,22,5,1,34,10,8,14
21,No,Travel_Rarely,1462,Research & Development,25,1,Technical Degree,1,331,4,Male,50,1,3,Laboratory Technician,4,Single,8547,15784,7,Y,No,17,3,3,80,0,5,4,1,15,2,7,13
38,No,Travel_Rarely,293,Research & Development,18,1,Marketing,1,332,4,Male,77,3,4,Healthcare Representative,2,Divorced,7196,4151,1,Y,No,20,3,2,80,0,19,5,3,7,16,7,5
57,No,Travel_Rarely,831,Sales,6,1,Life Sciences,1,333,2,Male,91,2,4,Sales Representative,2,Single,13971,4815,3,Y,No,17,3,2,80,0,25,2,3,26,1,0,7
31,No,Travel_Rarely,315,Sales,18,3,Medical,1,334,1,Female,87,2,1,Manager,3,Divorced,17216,6915,2,Y,No,14,3,1,80,0,11,1,2,38,8,10,4
56,No,Travel_Frequently,675,Sales,20,3,Medical,1,335,1,Male,47,2,3,Sales Representative,3,Single,12606,4657,1,Y,No,24,4,3,80,0,12,5,1,11,8,6,7
48,No,Non-Travel,1453,Sales,16,3,Life Sciences,1,336,1,Male,88,2,4,Sales Representative,3,Divorced,8691,16653,7,Y,No,14,3,2,80,1,12,0,3,3,15,13,5
31,No,Travel_Rarely,1058,Research & Development,15,3,Life Sciences,1,337,4,Female,77,3,3,Research Director,2,Single,9045,15786,2,Y,No,14,3,1,80,2,1,4,1,24,0,14,9
23,No,Travel_Rarely,482,Research & Development,16,4,Other,1,338,1,Male,92,2,2,Laboratory Technician,4,Married,12487,17755,8,Y,No,21,3,1,80,1,31,0,3,5,16,0,2
29,No,Travel_Rarely,774,Research & Development,8,3,Marketing,1,339,1,Female,41,2,4,Laboratory Technician,4,Married,3237,2296,4,Y,No,12,3,3,80,2,30,4,3,2,9,8,12
33,No,Travel_Rarely,899,Sales,13,2,Medical,1,340,4,Female,63,2,2,Sales Executive,1,Married,12309,3035,8,Y,Yes,23,3,3,80,2,10,3,2,38,4,2,6
34,No,Travel_Rarely,340,Research & Development,23,4,Technical Degree,1,341,4,Male,90,3,4,Laboratory Technician,3,Married,8472,19066,2,Y,Yes,23,3,1,80,2,36,4,1,23,7,0,3
40,Yes,Non-Travel,801,Research & Development,11,4,Other,1,342,3,Female,82,1,1,Research Scientist,4,Single,3991,10856,4,Y,No,19,3,3,80,1,3,3,1,20,12,7,12
31,Yes,Travel_Frequently,1207,Sales,28,3,Other,1,343,4,Male,54,2,4,Sales Executive,4,Married,3706,26865,5,Y,No,11,3,1,80,0,33,2,3,5,4,6,5
24,Yes,Travel_Rarely,1488,Research & Development,25,1,Technical Degree,1,344,2,Male,91,3,4,Manufacturing Director,4,Single,1091,11631,8,Y,No,18,3,1,80,0,15,0,3,32,3,1,15
49,No,Travel_Rarely,606,Research & Development,7,3,Technical Degree,1,345,4,Female,33,3,3,Research Scientist,4,Divorced,8362,3736,7,Y,No,16,3,3,80,2,30,4,2,7,7,13,0
32,No,Travel_Rarely,303,Research & Development,17,1,Human Resources,1,346,4,Male,42,2,3,Research Director,2,Single,15311,3459,1,Y,No,23,4,2,80,0,24,4,3,32,6,6,12
34,Yes,Travel_Rarely,1021,Research & Development,18,3,Technical Degree,1,347,1,Male,71,1,2,Manufacturing Director,3,Married,3513,9650,1,Y,Yes,20,3,1,80,0,38,1,1,2,4,4,1
58,No,Travel_Rarely,138,Sales,22,3,Life Sciences,1,348,3,Female,78,1,2,Sales Executive,4,Married,16298,2102,4,Y,No,17,4,3,80,1,7,0,2,1,9,14,5
51,No,Travel_Rarely,745,Research & Development,23,1,Medical,1,349,1,Female,85,1,2,Manufacturing Director,4,Married,18847,19009,4,Y,Yes,22,3,1,80,0,7,2,1,37,16,6,10
22,No,Non-Travel,866,Research & Development,19,1,Human Resources,1,350,3,Male,76,3,4,Manufacturing Director,4,Single,7760,3129,4,Y,No,15,3,1,80,0,33,3,2,39,5,9,16
44,No,Travel_Rarely,807,Research & Development,25,1,Life Sciences,1,351,1,Female,37,2,4,Manufacturing Director,4,Married,9260,14857,3,Y,No,16,3,1,80,1,14,2,1,38,9,11,8
40,No,Travel_Rarely,1301,Research & Development,13,1,Human Resources,1,352,2,Female,84,2,2,Manager,1,Divorced,2450,20095,7,Y,No,16,3,3,80,0,4,1,3,38,15,6,4
57,Yes,Travel_Frequently,646,Research & Development,15,2,Medical,1,353,1,Female,47,3,1,Research Director,4,Divorced,3040,8816,4,Y,Yes,23,3,3,80,2,18,2,1,23,9,1,4
31,No,Travel_Rarely,1326,Sales,23,1,Human Resources,1,354,1,Female,64,2,1,Manager,4,Married,3915,22194,0,Y,No,19,3,3,80,1,9,3,1,20,3,1,15
32,No,Travel_Rarely,641,Sales,22,3,Life Sciences,1,355,2,Male,61,2,4,Manager,4,Married,11115,24553,4,Y,No,20,4,2,80,0,8,0,2,17,1,14,3
50,No,Travel_Rarely,1118,Research & Development,22,3,Marketing,1,356,2,Male,53,1,1,Research Scientist,1,Married,9076,19554,0,Y,No,23,3,1,80,0,28,5,1,34,0,6,12
48,No,Travel_Rarely,495,Sales,1,2,Medical,1,357,4,Female,36,2,1,Sales Representative,2,Single,16814,26081,3,Y,Yes,14,3,2,80,1,39,1,3,10,2,2,16
52,No,Travel_Frequently,934,Research & Development,16,1,Other,1,358,1,Male,42,2,2,Research Scientist,1,Married,2315,6109,0,Y,No,22,3,1,80,2,36,4,2,10,12,3,8
34,Yes,Travel_Rarely,1167,Human Resources,5,3,Medical,1,359,2,Female,98,3,1,Human Resources,4,Married,1422,9223,5,Y,No,21,4,3,80,1,18,4,2,2,11,14,12
45,No,Travel_Frequently,698,Research & Development,26,2,Medical,1,360,2,Female,71,3,1,Manager,2,Married,19760,5056,5,Y,No,22,3,1,80,2,12,0,1,22,0,13,15
36,No,Travel_Rarely,494,Research & Development,3,3,Medical,1,361,4,Male,60,1,4,Laboratory Technician,4,Married,3262,6934,0,Y,Yes,23,4,1,80,1,39,5,2,0,9,6,9
40,No,Travel_Rarely,801,Research & Development,23,2,Marketing,1,362,3,Male,55,3,4,Manager,2,Married,11319,19390,7,Y,Yes,15,3,1,80,0,15,2,3,22,5,13,9
49,Yes,Travel_Frequently,542,Research & Development,10,2,Life Sciences,1,363,2,Male,61,1,4,Laboratory Technician,4,Divorced,1434,22627,3,Y,No,14,3,2,80,1,29,4,1,21,8,1,15
57,No,Travel_Rarely,1019,Research & Development,19,4,Other,1,364,2,Male,81,1,1,Research Director,4,Married,5468,22548,1,Y,No,11,4,3,80,1,4,1,3,29,0,12,0
30,No,Travel_Rarely,421,Human Resources,5,4,Life Sciences,1,365,1,Female,49,2,2,Human Resources,2,Married,15874,17431,0,Y,No,20,3,3,80,2,32,5,1,1,11,1,10
37,No,Travel_Rarely,654,Research & Development,7,1,Human Resources,1,366,4,Female,69,1,3,Research Director,2,Married,14651,7793,2,Y,No,16,4,1,80,1,18,3,1,16,4,8,12
52,No,Travel_Rarely,1340,Human Resources,14,4,Human Resources,1,367,1,Male,88,2,4,Human Resources,4,Married,16482,8016,6,Y,Yes,15,3,3,80,2,18,2,2,19,0,10,4
22,No,Travel_Rarely,1196,Human Resources,3,2,Human Resources,1,368,3,Female,43,1,4,Manager,1,Single,6409,23758,7,Y,Yes,14,3,2,80,1,16,5,2,8,1,0,3
26,No,Travel_Rarely,669,Sales,13,3,Life Sciences,1,369,4,Male,73,3,4,Sales Executive,1,Single,2547,16956,4,Y,Yes,16,4,2,80,0,23,3,2,10,13,11,5
46,Yes,Travel_Rarely,1020,Sales,13,3,Technical Degree,1,370,1,Male,77,3,2,Manager,1,Single,2193,15692,6,Y,No,22,3,3,80,1,27,5,1,16,1,11,14
23,No,Travel_Rarely,337,Sales,10,1,Marketing,1,371,2,Male,72,3,3,Sales Representative,1,Married,11721,3992,1,Y,No,15,3,2,80,0,36,5,2,13,4,2,1
42,No,Non-Travel,1406,Sales,2,4,Technical Degree,1,372,2,Female,45,1,3,Sales Representative,2,Divorced,16436,25033,3,Y,Yes,13,3,2,80,2,21,2,3,17,9,9,3
48,No,Travel_Rarely,1088,Sales,6,1,Human Resources,1,373,4,Female,64,1,4,Sales Executive,2,Single,18490,26868,5,Y,Yes,12,3,3,80,2,38,1,2,17,5,3,13
39,No,Travel_Frequently,1287,Research & Development,8,2,Marketing,1,374,2,Male,82,2,1,Research Director,1,Married,7468,21710,4,Y,No,23,3,3,80,2,15,3,3,7,4,4,3
19,No,Travel_Rarely,1316,Sales,4,4,Life Sciences,1,375,1,Male,63,2,4,Manager,3,Divorced,16923,4916,5,Y,No,16,3,1,80,2,34,1,2,28,1,14,15
22,No,Travel_Rarely,1134,Research & Development,25,1,Human Resources,1,376,4,Male,32,2,4,Manufacturing Director,3,Divorced,3250,6578,1,Y,No,14,3,1,80,1,26,3,1,7,8,2,8
44,No,Travel_Frequently,161,Research & Development,12,3,Life Sciences,1,377,2,Male,97,2,1,Manager,3,Married,15264,23978,6,Y,No,21,3,2,80,1,11,2,2,25,9,8,7
42,No,Travel_Rarely,994,Sales,28,3,Marketing,1,378,2,Female,34,1,1,Manager,4,Single,3611,15146,7,Y,No,23,3,3,80,1,27,1,3,27,7,4,10
25,Yes,Travel_Frequently,326,Research & Development,15,1,Life Sciences,1,379,3,Female,39,1,4,Manufacturing Director,1,Single,1316,20132,8,Y,Yes,20,3,2,80,0,0,2,3,7,5,6,13
18,No,Travel_Rarely,801,Sales,8,1,Life Sciences,1,380,3,Male,81,2,2,Sales Representative,4,Single,3790,19069,5,Y,Yes,13,3,3,80,1,38,5,2,19,4,14,16
37,No,Travel_Rarely,683,Sales,7,1,Other,1,381,4,Male,58,1,2,Manager,2,Single,2867,3942,6,Y,Yes,24,4,2,80,0,17,5,3,7,17,13,12
40,No,Travel_Rarely,1412,Research & Development,14,2,Technical Degree,1,382,3,Female,60,1,1,Healthcare Representative,2,Single,14445,23669,0,Y,Yes,18,4,2,80,0,22,2,1,13,17,10,7
49,No,Travel_Rarely,1095,Research & Development,23,2,Technical Degree,1,383,1,Male,95,1,4,Healthcare Representative,3,Married,2327,15363,8,Y,No,22,3,2,80,1,21,3,2,12,1,12,13
28,No,Travel_Frequently,270,Research & Development,19,3,Technical Degree,1,384,2,Female,98,1,2,Manager,3,Single,5816,5135,5,Y,No,19,3,1,80,0,3,5,3,39,11,6,10
56,No,Travel_Rarely,1187,Research & Development,14,2,Medical,1,385,2,Female,66,2,4,Healthcare Representative,2,Single,5148,18645,3,Y,Yes,17,3,3,80,2,10,3,2,16,7,10,8
41,No,Non-Travel,1474,Research & Development,22,2,Other,1,386,2,Male,56,2,4,Laboratory Technician,3,Single,17070,6473,8,Y,No,12,3,2,80,1,17,1,2,25,3,8,7
28,No,Non-Travel,115,Sales,13,4,Human Resources,1,387,4,Female,62,1,4,Sales Representative,3,Married,13573,9755,0,Y,No,18,3,1,80,1,6,4,2,5,3,1,13
46,No,Travel_Rarely,265,Sales,21,2,Human Resources,1,388,4,Female,97,3,2,Sales Executive,2,Married,12566,9061,1,Y,No,21,3,2,80,0,20,5,2,16,8,2,14
43,No,Travel_Rarely,858,Research & Development,1,4,Human Resources,1,389,3,Female,88,2,3,Laboratory Technician,4,Married,15157,25761,2,Y,No,23,3,2,80,1,34,5,2,3,8,3,0
33,No,Non-Travel,1153,Research & Development,27,2,Technical Degree,1,390,2,Female,93,2,4,Manufacturing Director,3,Single,11322,14293,0,Y,No,23,3,3,80,1,36,0,1,24,11,7,11
52,No,Non-Travel,547,Human Resources,19,3,Technical Degree,1,391,2,Male,73,3,2,Human Resources,4,Married,4482,17768,1,Y,Yes,21,3,2,80,0,29,3,2,6,13,0,4
37,No,Travel_Rarely,1333,Research & Development,28,1,Other,1,392,2,Female,78,2,3,Laboratory Technician,3,Single,5099,22488,1,Y,No,15,4,3,80,1,16,2,1,16,2,8,13
20,No,Travel_Rarely,817,Research & Development,1,3,Life Sciences,1,393,2,Female,82,3,1,Manager,1,Single,13512,15625,6,Y,No,21,3,1,80,1,32,0,2,21,5,4,15
18,No,Travel_Rarely,1077,Research & Development,4,2,Technical Degree,1,394,2,Female,78,3,2,Research Scientist,4,Divorced,15675,23464,5,Y,No,20,3,1,80,1,15,1,3,27,14,3,15
18,No,Travel_Rarely,920,Research & Development,10,1,Human Resources,1,395,1,Male,95,1,3,Healthcare Representative,4,Divorced,11748,22326,8,Y,No,17,3,2,80,0,14,0,2,5,3,12,6
34,Yes,Travel_Rarely,205,Human Resources,3,1,Life Sciences,1,396,2,Male,92,2,2,Human Resources,3,Married,1522,20659,4,Y,No,15,3,1,80,1,12,0,2,29,0,7,2
19,No,Travel_Frequently,843,Research & Development,27,1,Technical Degree,1,397,1,Male,54,3,3,Healthcare Representative,4,Divorced,15850,2926,8,Y,No,12,3,3,80,1,38,4,3,9,8,13,7
46,No,Travel_Rarely,527,Research & Development,20,4,Marketing,1,398,2,Female,33,1,3,Manager,1,Married,8732,16304,8,Y,No,22,4,3,80,1,2,4,1,38,15,8,13
37,No,Travel_Rarely,1226,Research & Development,9,3,Medical,1,399,4,Male,80,2,2,Research Scientist,2,Single,9985,19499,1,Y,No,22,3,1,80,2,23,0,1,13,8,2,2
23,Yes,Travel_Rarely,740,Research & Development,3,4,Technical Degree,1,400,4,Male,40,1,1,Research Director,1,Divorced,1079,12279,8,Y,No,22,3,3,80,1,22,4,1,21,11,13,10
25,Yes,Travel_Rarely,951,Sales,28,1,Marketing,1,401,1,Male,46,1,4,Sales Representative,2,Single,2476,5586,2,Y,No,14,3,3,80,0,0,4,1,25,13,3,13
46,No,Travel_Rarely,1231,Human Resources,6,3,Other,1,402,2,Female,95,3,3,Manager,1,Married,18952,13956,2,Y,No,23,3,2,80,2,31,0,3,9,14,0,1
50,No,Travel_Rarely,870,Research & Development,6,3,Marketing,1,403,4,Male,99,2,4,Healthcare Representative,1,Single,3654,2382,8,Y,Yes,21,3,2,80,0,32,3,1,1,15,14,3
20,No,Travel_Rarely,378,Research & Development,23,2,Other,1,404,4,Male,98,1,1,Research Director,4,Married,13428,9910,6,Y,No,15,3,3,80,1,29,4,1,2,7,11,4
52,No,Travel_Rarely,1190,Research & Development,25,4,Technical Degree,1,405,2,Male,58,3,4,Research Scientist,1,Married,13311,3170,7,Y,No,16,4,1,80,1,1,0,1,10,9,13,9
22,No,Travel_Rarely,1001,Research & Development,12,4,Other,1,406,2,Female,49,3,4,Research Director,3,Married,5733,17658,6,Y,Yes,15,3,3,80,1,17,3,1,9,13,2,1
44,No,Non-Travel,289,Research & Development,23,2,Marketing,1,407,4,Female,56,1,2,Research Director,3,Single,8811,3465,8,Y,No,20,3,2,80,2,29,5,1,11,16,9,2
29,No,Travel_Rarely,1442,Sales,1,4,Medical,1,408,2,Male,37,1,2,Manager,3,Married,10342,3168,7,Y,No,21,4,1,80,1,17,4,2,13,2,4,14
37,No,Travel_Rarely,1263,Human Resources,16,1,Life Sciences,1,409,3,Male,90,3,1,Manager,3,Married,12464,7028,3,Y,No,11,3,3,80,0,4,0,2,29,3,14,1
37,Yes,Travel_Rarely,1468,Sales,24,1,Life Sciences,1,410,2,Male,57,1,2,Sales Executive,4,Divorced,2044,2133,1,Y,Yes,11,3,1,80,2,4,4,1,12,15,12,2
26,No,Non-Travel,206,Research & Development,5,4,Medical,1,411,4,Female,99,1,3,Manager,3,Divorced,14543,6368,4,Y,No,13,3,1,80,0,7,3,3,29,13,7,11
56,Yes,Travel_Rarely,647,Human Resources,9,2,Human Resources,1,412,4,Female,32,2,1,Human Resources,1,Married,3293,18660,1,Y,Yes,19,3,1,80,0,8,0,3,37,13,13,13
21,No,Travel_Rarely,481,Human Resources,10,3,Life Sciences,1,413,1,Male,98,3,2,Manager,3,Single,3795,7590,3,Y,No,21,3,3,80,0,31,3,2,10,15,0,16
36,No,Travel_Frequently,211,Research & Development,13,4,Technical Degree,1,414,3,Female,36,1,2,Research Director,4,Divorced,18192,15086,1,Y,No,12,3,2,80,0,13,5,3,0,7,0,15
55,Yes,Travel_Rarely,646,Research & Development,15,3,Human Resources,1,415,4,Male,89,3,1,Manager,2,Single,3978,4602,4,Y,No,20,3,1,80,0,12,2,2,26,17,2,16
44,No,Travel_Rarely,455,Research & Development,12,2,Technical Degree,1,416,3,Female,33,2,3,Research Director,1,Single,18383,14112,5,Y,No,15,3,1,80,1,17,1,1,38,6,8,8
30,No,Travel_Rarely,844,Sales,5,3,Marketing,1,417,2,Male,34,3,1,Sales Representative,1,Married,10540,10166,0,Y,Yes,19,3,3,80,0,3,2,1,36,2,8,2
30,No,Travel_Rarely,418,Research & Development,5,2,Marketing,1,418,4,Female,40,3,2,Laboratory Technician,4,Divorced,18328,15442,7,Y,No,17,3,2,80,0,21,4,3,8,5,0,13
39,No,Travel_Rarely,1391,Research & Development,28,2,Human Resources,1,419,1,Male,44,3,2,Manager,2,Single,8214,16004,1,Y,No,21,3,2,80,1,19,3,3,25,15,3,2
45,Yes,Travel_Frequently,1190,Research & Development,28,1,Human Resources,1,420,4,Female,93,2,1,Research Director,3,Single,2823,16046,4,Y,Yes,18,3,3,80,2,14,0,3,24,3,11,5
39,No,Travel_Rarely,434,Research & Development,18,1,Human Resources,1,421,1,Male,42,2,3,Manufacturing Director,2,Married,4609,18159,7,Y,No,12,4,1,80,1,6,3,1,16,1,7,12
36,No,Travel_Frequently,1258,Research & Development,12,2,Human Resources,1,422,3,Male,36,3,3,Manager,1,Single,15622,2412,4,Y,No,15,4,3,80,2,12,4,1,5,3,1,4
25,No,Travel_Rarely,693,Sales,27,4,Other,1,423,1,Male,35,3,4,Manager,1,Married,12298,13912,2,Y,No,19,3,2,80,0,33,0,3,14,1,3,0
25,No,Travel_Frequently,884,Research & Development,3,1,Human Resources,1,424,2,Male,85,2,3,Healthcare Representative,1,Married,5080,20881,5,Y,Yes,11,4,1,80,1,29,2,3,2,6,6,11
59,No,Travel_Rarely,641,Sales,26,2,Human Resources,1,425,2,Female,93,1,1,Sales Representative,2,Married,2987,16076,0,Y,No,11,4,1,80,2,4,3,3,30,14,6,14
43,No,Travel_Rarely,836,Research & Development,25,3,Marketing,1,426,2,Male,79,2,3,Manufacturing Director,3,Single,19744,12950,0,Y,No,20,3,2,80,2,0,1,3,27,16,4,1
43,No,Travel_Rarely,722,Research & Development,7,3,Technical Degree,1,427,4,Female,59,3,3,Manager,1,Single,9546,14610,7,Y,Yes,18,3,1,80,1,30,5,2,8,13,6,2
40,No,Non-Travel,720,Research & Development,17,4,Marketing,1,428,2,Female,51,1,4,Manager,4,Divorced,17233,2822,6,Y,Yes,12,3,3,80,1,19,5,3,17,10,5,6
30,No,Travel_Rarely,1494,Research & Development,19,3,Life Sciences,1,429,2,Male,54,1,3,Manufacturing Director,3,Divorced,3726,3381,2,Y,Yes,19,3,2,80,1,18,4,3,39,16,1,10
45,No,Travel_Rarely,1010,Sales,28,3,Other,1,430,4,Male,57,1,4,Sales Executive,1,Single,18149,6095,7,Y,No,20,3,2,80,1,28,4,2,31,4,8,9
26,No,Travel_Rarely,1093,Sales,18,2,Other,1,431,3,Male,68,2,4,Sales Representative,3,Single,16268,24084,7,Y,No,19,3,1,80,1,37,3,2,18,13,4,7
37,No,Travel_Rarely,200,Research & Development,1,3,Technical Degree,1,432,2,Male,96,2,3,Laboratory Technician,4,Single,15977,10846,0,Y,No,14,3,2,80,0,9,2,2,4,16,1,1
36,No,Travel_Rarely,418,Research & Development,25,3,Human Resources,1,433,2,Female,34,2,2,Manufacturing Director,2,Married,2907,3469,6,Y,Yes,12,3,3,80,0,28,2,2,5,1,5,13
56,No,Travel_Rarely,224,Sales,24,3,Marketing,1,434,4,Female,94,2,1,Manager,1,Married,15764,17064,1,Y,No,13,3,2,80,1,30,1,3,11,6,9,12
29,Yes,Travel_Rarely,1445,Sales,5,3,Life Sciences,1,435,3,Female,44,3,1,Sales Executive,4,Married,1658,14172,1,Y,No,20,4,1,80,1,10,1,1,16,3,4,6
32,No,Travel_Rarely,900,Research & Development,27,2,Marketing,1,436,3,Female,96,1,3,Manufacturing Director,1,Married,4455,2118,1,Y,Yes,11,3,2,80,0,22,3,1,38,7,1,8
48,Yes,Travel_Rarely,558,Sales,28,3,Human Resources,1,437,3,Male,69,3,1,Sales Representative,1,Married,1551,19632,4,Y,No,13,3,1,80,2,29,0,1,6,0,12,6
31,No,Travel_Rarely,623,Research & Development,2,4,Human Resources,1,438,4,Female,98,2,1,Manager,2,Divorced,9774,14751,6,Y,Yes,15,3,1,80,0,24,2,1,10,9,9,0
28,No,Travel_Frequently,621,Research & Development,1,1,Medical,1,439,1,Male,72,2,4,Laboratory Technician,2,Single,16556,19937,3,Y,No,13,3,3,80,1,15,0,1,33,0,9,0
43,Yes,Travel_Rarely,1018,Sales,7,4,Marketing,1,440,1,Male,30,3,2,Manager,3,Single,1364,17677,3,Y,No,13,3,2,80,2,22,0,1,1,0,6,5
59,Yes,Travel_Rarely,818,Sales,11,1,Technical Degree,1,441,2,Female,51,1,1,Sales Representative,4,Single,2973,23585,8,Y,No,20,3,3,80,1,32,3,2,13,3,9,0
44,Yes,Travel_Rarely,416,Human Resources,11,4,Marketing,1,442,2,Female,91,1,2,Manager,4,Divorced,1794,6800,8,Y,No,16,3,3,80,2,36,1,2,17,16,12,15
28,No,Non-Travel,810,Research & Development,18,1,Other,1,443,2,Female,55,2,1,Manager,2,Divorced,17175,15757,6,Y,No,13,4,2,80,1,27,0,1,8,4,1,2
55,No,Non-Travel,811,Research & Development,17,1,Life Sciences,1,444,1,Female,47,2,2,Research Scientist,1,Married,13027,17938,3,Y,Yes,13,3,3,80,0,26,3,3,38,13,6,12
51,No,Travel_Frequently,1145,Research & Development,2,1,Technical Degree,1,445,4,Female,77,2,2,Manager,3,Single,11505,11506,7,Y,No,19,4,3,80,1,5,1,3,3,5,13,3
36,No,Travel_Rarely,661,Human Resources,7,1,Medical,1,446,2,Female,38,2,1,Human Resources,2,Single,12094,20634,2,Y,No,12,3,1,80,0,37,0,1,13,6,5,16
23,No,Travel_Rarely,1070,Human Resources,7,2,Life Sciences,1,447,4,Male,30,1,4,Manager,3,Single,14167,8073,2,Y,No,11,3,3,80,2,36,0,3,10,7,11,9
55,No,Travel_Rarely,1255,Research & Development,10,4,Life Sciences,1,448,2,Male,38,3,2,Laboratory Technician,3,Married,10769,10037,6,Y,Yes,20,3,2,80,0,5,1,2,29,17,11,3
59,No,Travel_Rarely,1418,Research & Development,22,1,Other,1,449,4,Male,52,1,2,Manager,4,Single,3020,24520,8,Y,Yes,18,3,1,80,2,24,5,2,39,3,3,11
